*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      DEC 02, 2018; 12:33:06
                                                                                
*RUN   1        : 86_01                     RICER046 SSKT0001    1              
 MODEL          : RICER046 - Rice                                               
 EXPERIMENT     : SSKT0001 RI mulation, Thailand                                
 DATA PATH      : C:\DSSAT46\Rice\                                              
 TREATMENT  1   : 86_01                     RICER046                            
  
@YEAR DOY   DAS   DAP  CNAD  GNAD  VNAD  GN%D  VN%D  NUPC  LNAD  SNAD  LN%D  SN%D  SHND  RN%D  SNN0C  SNN1C                                 
 EXPERIMENT     : SSKT0001 RI mulation, Thailand                                
 DATA PATH      : C:\DSSAT46\Rice\                                              
 TREATMENT  2   : 87_01                     RICER046                            
  
@YEAR DOY   DAS   DAP  CNAD  GNAD  VNAD  GN%D  VN%D  NUPC  LNAD  SNAD  LN%D  SN%D  SHND  RN%D  SNN0C  SNN1C                                 
 1987 213    35     0   9.3   0.0   9.3  0.00  3.29  49.1   8.4   0.9  3.29  3.29  0.00  0.62   0.00   0.00
 1987 214    36     1  10.5   0.0  10.5  0.00  3.69  50.7   9.5   1.0  3.69  3.69  0.00  0.96   0.00   0.00
 1987 215    37     2  11.2   0.0  11.2  0.00  3.95  52.2  10.1   1.1  3.95  3.95  0.00  1.46   0.01   0.00
 1987 216    38     3  11.2   0.0  11.2  0.00  3.94  52.2  10.1   1.1  3.94  3.94  0.00  1.36   0.02   0.15
 1987 217    39     4  11.2   0.0  11.2  0.00  3.94  52.4  10.1   1.1  3.94  3.94  0.00  1.33   0.03   0.31
 1987 218    40     5  11.2   0.0  11.2  0.00  3.92  52.5  10.1   1.1  3.92  3.92  0.00  1.23   0.04   0.48
 1987 219    41     6  11.2   0.0  11.2  0.00  3.91  52.8  10.1   1.1  3.91  3.91  0.00  1.25   0.04   0.65
 1987 220    42     7  11.2   0.0  11.2  0.00  3.55  52.8   9.7   1.5  3.55  3.55  0.00  1.16   0.05   0.85
 1987 221    43     8  11.8   0.0  11.8  0.00  3.45  53.5  10.0   1.9  3.45  3.45  0.00  1.10   0.06   1.05
 1987 222    44     9  12.3   0.0  12.3  0.00  3.23  54.0  10.0   2.3  3.23  3.23  0.00  1.05   0.07   1.24
 1987 223    45    10  12.6   0.0  12.6  0.00  2.84  54.3   9.8   2.8  2.84  2.84  0.00  1.00   0.08   1.24
 1987 224    46    11  13.8   0.0  13.8  0.00  2.77  55.5  10.2   3.6  2.77  2.77  0.00  0.98   0.10   1.24
 1987 225    47    12  13.9   0.0  13.9  0.00  2.49  55.7   9.7   4.2  2.49  2.49  0.00  0.94   0.12   1.24
